county,year,per_capita_income,unemployment_rate,population,tax_revenue_per_capita,log_income
臺北市,1995,363360.0,2.0,2676573.0,32000.0,12.8031
臺北市,1996,366924.0,2.2,2670553.2,32600.0,12.8129
臺北市,1997,370488.0,2.4,2664533.4,33200.0,12.8226
臺北市,1998,374052.0,2.6,2658513.6,33800.0,12.8322
臺北市,1999,377616.0,2.8,2652493.8,34400.0,12.8416
臺北市,2000,381180.0,3.0,2646474.0,35000.0,12.851
臺北市,2001,384744.0,3.2,2640454.2,35600.0,12.8603
臺北市,2002,388308.0,3.4,2634434.4,36200.0,12.8696
臺北市,2003,391872.0,3.6,2628414.6,36800.0,12.8787
臺北市,2004,395436.0,3.8,2622394.8,37400.0,12.8877
臺北市,2005,399000.0,4.0,2616375.0,38000.0,12.8967
臺北市,2006,399600.0,4.24,2616854.4,38400.0,12.8982
臺北市,2007,400200.0,4.48,2617333.8,38800.0,12.8997
臺北市,2008,400800.0,4.72,2617813.2,39200.0,12.9012
臺北市,2009,401400.0,4.96,2618292.6,39600.0,12.9027
臺北市,2010,402000.0,5.2,2618772.0,40000.0,12.9042
臺北市,2011,381180.0,4.92,2635979.6,40400.0,12.851
臺北市,2012,388385.0,4.64,2653187.2,40800.0,12.8698
臺北市,2013,395590.0,4.36,2670394.8,41200.0,12.8881
臺北市,2014,402795.0,4.08,2687602.4,41600.0,12.9062
臺北市,2015,410000.0,3.8,2704810.0,42000.0,12.9239
臺北市,2016,414000.0,3.82,2684331.6,42400.0,12.9336
臺北市,2017,418000.0,3.84,2663853.2,42800.0,12.9432
臺北市,2018,422000.0,3.86,2643374.8,43200.0,12.9528
臺北市,2019,426000.0,3.88,2622896.4,43600.0,12.9622
臺北市,2020,430000.0,3.9,2602418.0,44000.0,12.9715
臺北市,2021,434000.0,3.92,2581939.6,44400.0,12.9808
臺北市,2022,438000.0,3.94,2561461.2,44800.0,12.99
臺北市,2023,442000.0,3.96,2540982.8,45200.0,12.9991
臺北市,2024,446000.0,3.98,2520504.4,45600.0,13.0081
桃園市,1990,229093.0,1.0,1437219.0,15000.0,12.3419
桃園市,1991,233486.8,1.2,1466758.8,15300.0,12.3609
桃園市,1992,237880.6,1.4,1496298.6,15600.0,12.3795
桃園市,1993,242274.4,1.5999999999999999,1525838.4,15900.0,12.3978
桃園市,1994,246668.2,1.7999999999999998,1555378.2,16200.0,12.4158
桃園市,1995,251062.0,2.0,1584918.0,16500.0,12.4335
桃園市,1996,255455.8,2.2,1614457.8,16800.0,12.4508
桃園市,1997,259849.6,2.4,1643997.6,17100.0,12.4679
桃園市,1998,264243.4,2.6,1673537.4,17400.0,12.4846
桃園市,1999,268637.2,2.8,1703077.2,17700.0,12.5011
桃園市,2000,273031.0,3.0,1732617.0,18000.0,12.5173
桃園市,2001,277424.8,3.2,1762156.8,18300.0,12.5333
桃園市,2002,281818.6,3.4,1791696.6,18600.0,12.549
桃園市,2003,286212.4,3.6,1821236.4,18900.0,12.5645
桃園市,2004,290606.2,3.8,1850776.2,19200.0,12.5797
桃園市,2005,295000.0,4.0,1880316.0,19500.0,12.5947
桃園市,2006,293600.0,4.2,1904664.8,19800.0,12.59
桃園市,2007,292200.0,4.4,1929013.6,20100.0,12.5852
桃園市,2008,290800.0,4.6,1953362.4,20400.0,12.5804
桃園市,2009,289400.0,4.8,1977711.2,20700.0,12.5756
桃園市,2010,288000.0,5.0,2002060.0,21000.0,12.5707
桃園市,2011,273031.0,4.76,2022804.0,21300.0,12.5173
桃園市,2012,279273.25,4.52,2043548.0,21600.0,12.5399
桃園市,2013,285515.5,4.28,2064292.0,21900.0,12.5621
桃園市,2014,291757.75,4.04,2085036.0,22200.0,12.5837
桃園市,2015,298000.0,3.8,2105780.0,22500.0,12.6048
桃園市,2016,301400.0,3.8,2138385.4,22800.0,12.6162
桃園市,2017,304800.0,3.8,2170990.8,23100.0,12.6274
桃園市,2018,308200.0,3.8,2203596.2,23400.0,12.6385
桃園市,2019,311600.0,3.8,2236201.6,23700.0,12.6495
桃園市,2020,315000.0,3.8,2268807.0,24000.0,12.6603
桃園市,2021,318400.0,3.8,2301412.4,24300.0,12.6711
桃園市,2022,321800.0,3.8,2334017.8,24600.0,12.6817
桃園市,2023,325200.0,3.8,2366623.2,24900.0,12.6922
桃園市,2024,328600.0,3.8,2399228.6,25200.0,12.7026
臺中市,1990,227004.0,2.0999999999999996,2637800.0,13000.0,12.3327
臺中市,1991,230870.4,2.2399999999999993,2639985.6,13300.0,12.3496
臺中市,1992,234736.8,2.38,2642171.2,13600.0,12.3662
臺中市,1993,238603.2,2.5199999999999996,2644356.8,13900.0,12.3826
臺中市,1994,242469.6,2.6599999999999997,2646542.4,14200.0,12.3986
臺中市,1995,246336.0,2.8,2648728.0,14500.0,12.4145
臺中市,1996,250202.4,2.94,2650913.6,14800.0,12.43
臺中市,1997,254068.8,3.08,2653099.2,15100.0,12.4454
臺中市,1998,257935.2,3.2199999999999998,2655284.8,15400.0,12.4605
臺中市,1999,261801.6,3.36,2657470.4,15700.0,12.4753
臺中市,2000,265668.0,3.5,2659656.0,16000.0,12.49
臺中市,2001,269534.4,3.64,2661841.6,16300.0,12.5045
臺中市,2002,273400.8,3.7800000000000002,2664027.2,16600.0,12.5187
臺中市,2003,277267.2,3.92,2666212.8,16900.0,12.5327
臺中市,2004,281133.6,4.0600000000000005,2668398.4,17200.0,12.5466
臺中市,2005,285000.0,4.2,2670584.0,17500.0,12.5602
臺中市,2006,283600.0,4.38,2677198.8,17700.0,12.5553
臺中市,2007,282200.0,4.56,2683813.6,17900.0,12.5504
臺中市,2008,280800.0,4.74,2690428.4,18100.0,12.5454
臺中市,2009,279400.0,4.92,2697043.2,18300.0,12.5404
臺中市,2010,278000.0,5.1,2703658.0,18500.0,12.5354
臺中市,2011,265668.0,4.84,2711815.4,18700.0,12.49
臺中市,2012,271251.0,4.58,2719972.8,18900.0,12.5108
臺中市,2013,276834.0,4.319999999999999,2728130.2,19100.0,12.5312
臺中市,2014,282417.0,4.06,2736287.6,19300.0,12.5511
臺中市,2015,288000.0,3.8,2744445.0,19500.0,12.5707
臺中市,2016,291400.0,3.8,2759713.4,19700.0,12.5825
臺中市,2017,294800.0,3.8,2774981.8,19900.0,12.5941
臺中市,2018,298200.0,3.8,2790250.2,20100.0,12.6055
臺中市,2019,301600.0,3.8,2805518.6,20300.0,12.6169
臺中市,2020,305000.0,3.8,2820787.0,20500.0,12.6281
臺中市,2021,308400.0,3.8,2836055.4,20700.0,12.6392
臺中市,2022,311800.0,3.8,2851323.8,20900.0,12.6501
臺中市,2023,315200.0,3.8,2866592.2,21100.0,12.661
臺中市,2024,318600.0,3.8,2881860.6,21300.0,12.6717
臺南市,1990,225813.0,2.5,1799557.0,13000.0,12.3275
臺南市,1991,227758.8,2.6,1804035.0,13100.0,12.336
臺南市,1992,229704.6,2.7,1808513.0,13200.0,12.3445
臺南市,1993,231650.4,2.8,1812991.0,13300.0,12.353
臺南市,1994,233596.2,2.9,1817469.0,13400.0,12.3613
臺南市,1995,235542.0,3.0,1821947.0,13500.0,12.3696
臺南市,1996,237487.8,3.1,1826425.0,13600.0,12.3779
臺南市,1997,239433.6,3.2,1830903.0,13700.0,12.386
臺南市,1998,241379.4,3.3,1835381.0,13800.0,12.3941
臺南市,1999,243325.2,3.4,1839859.0,13900.0,12.4022
臺南市,2000,245271.0,3.5,1844337.0,14000.0,12.4101
臺南市,2001,247216.8,3.6,1848815.0,14100.0,12.418
臺南市,2002,249162.6,3.7,1853293.0,14200.0,12.4259
臺南市,2003,251108.4,3.8,1857771.0,14300.0,12.4336
臺南市,2004,253054.2,3.9,1862249.0,14400.0,12.4414
臺南市,2005,255000.0,4.0,1866727.0,14500.0,12.449
臺南市,2006,254000.0,4.22,1868140.4,14600.0,12.4451
臺南市,2007,253000.0,4.4399999999999995,1869553.8,14700.0,12.4411
臺南市,2008,252000.0,4.66,1870967.2,14800.0,12.4372
臺南市,2009,251000.0,4.88,1872380.6,14900.0,12.4332
臺南市,2010,250000.0,5.1,1873794.0,15000.0,12.4292
臺南市,2011,245271.0,4.859999999999999,1876143.4,15200.0,12.4101
臺南市,2012,249453.25,4.62,1878492.8,15400.0,12.427
臺南市,2013,253635.5,4.38,1880842.2,15600.0,12.4437
臺南市,2014,257817.75,4.14,1883191.6,15800.0,12.46
臺南市,2015,262000.0,3.9,1885541.0,16000.0,12.4761
臺南市,2016,266600.0,3.88,1883416.2,16360.0,12.4935
臺南市,2017,271200.0,3.86,1881291.4,16720.0,12.5106
臺南市,2018,275800.0,3.84,1879166.6,17080.0,12.5274
臺南市,2019,280400.0,3.82,1877041.8,17440.0,12.544
臺南市,2020,285000.0,3.8,1874917.0,17800.0,12.5602
臺南市,2021,289600.0,3.78,1872792.2,18160.0,12.5763
臺南市,2022,294200.0,3.76,1870667.4,18520.0,12.592
臺南市,2023,298800.0,3.7399999999999998,1868542.6,18880.0,12.6075
臺南市,2024,303400.0,3.7199999999999998,1866417.8,19240.0,12.6228
高雄市,1990,235794.0,3.0,2654965.0,15000.0,12.3707
高雄市,1991,239274.4,3.1,2661995.2,15200.0,12.3854
高雄市,1992,242754.8,3.2,2669025.4,15400.0,12.3998
高雄市,1993,246235.2,3.3,2676055.6,15600.0,12.414
高雄市,1994,249715.6,3.4,2683085.8,15800.0,12.4281
高雄市,1995,253196.0,3.5,2690116.0,16000.0,12.4419
高雄市,1996,256676.4,3.6,2697146.2,16200.0,12.4556
高雄市,1997,260156.8,3.7,2704176.4,16400.0,12.469
高雄市,1998,263637.2,3.8,2711206.6,16600.0,12.4823
高雄市,1999,267117.6,3.9,2718236.8,16800.0,12.4954
高雄市,2000,270598.0,4.0,2725267.0,17000.0,12.5084
高雄市,2001,274078.4,4.1,2732297.2,17200.0,12.5212
高雄市,2002,277558.8,4.2,2739327.4,17400.0,12.5338
高雄市,2003,281039.2,4.3,2746357.6,17600.0,12.5462
高雄市,2004,284519.6,4.4,2753387.8,17800.0,12.5586
高雄市,2005,288000.0,4.5,2760418.0,18000.0,12.5707
高雄市,2006,285400.0,4.7,2763031.0,17900.0,12.5616
高雄市,2007,282800.0,4.9,2765644.0,17800.0,12.5525
高雄市,2008,280200.0,5.1,2768257.0,17700.0,12.5433
高雄市,2009,277600.0,5.3,2770870.0,17600.0,12.5339
高雄市,2010,275000.0,5.5,2773483.0,17500.0,12.5245
高雄市,2011,270598.0,5.2,2774570.0,17600.0,12.5084
高雄市,2012,272948.5,4.9,2775657.0,17700.0,12.517
高雄市,2013,275299.0,4.6,2776744.0,17800.0,12.5256
高雄市,2014,277649.5,4.3,2777831.0,17900.0,12.5341
高雄市,2015,280000.0,4.0,2778918.0,18000.0,12.5425
高雄市,2016,283600.0,4.0,2776320.8,18200.0,12.5553
高雄市,2017,287200.0,4.0,2773723.6,18400.0,12.5679
高雄市,2018,290800.0,4.0,2771126.4,18600.0,12.5804
高雄市,2019,294400.0,4.0,2768529.2,18800.0,12.5927
高雄市,2020,298000.0,4.0,2765932.0,19000.0,12.6048
高雄市,2021,301600.0,4.0,2763334.8,19200.0,12.6169
高雄市,2022,305200.0,4.0,2760737.6,19400.0,12.6287
高雄市,2023,308800.0,4.0,2758140.4,19600.0,12.6404
高雄市,2024,312400.0,4.0,2755543.2,19800.0,12.652
宜蘭縣,1990,203703.0,3.0,474160.0,11000.0,12.2244
宜蘭縣,1991,206122.8,3.1,473244.4,11100.0,12.2362
宜蘭縣,1992,208542.6,3.2,472328.8,11200.0,12.2479
宜蘭縣,1993,210962.4,3.3,471413.2,11300.0,12.2594
宜蘭縣,1994,213382.2,3.4,470497.6,11400.0,12.2708
宜蘭縣,1995,215802.0,3.5,469582.0,11500.0,12.2821
宜蘭縣,1996,218221.8,3.6,468666.4,11600.0,12.2933
宜蘭縣,1997,220641.6,3.7,467750.8,11700.0,12.3043
宜蘭縣,1998,223061.4,3.8,466835.2,11800.0,12.3152
宜蘭縣,1999,225481.2,3.9,465919.6,11900.0,12.326
宜蘭縣,2000,227901.0,4.0,465004.0,12000.0,12.3367
宜蘭縣,2001,230320.8,4.1,464088.4,12100.0,12.3472
宜蘭縣,2002,232740.6,4.2,463172.8,12200.0,12.3577
宜蘭縣,2003,235160.4,4.3,462257.2,12300.0,12.368
宜蘭縣,2004,237580.2,4.4,461341.6,12400.0,12.3783
宜蘭縣,2005,240000.0,4.5,460426.0,12500.0,12.3884
宜蘭縣,2006,239000.0,4.66,460438.0,12560.0,12.3842
宜蘭縣,2007,238000.0,4.82,460450.0,12620.0,12.38
宜蘭縣,2008,237000.0,4.9799999999999995,460462.0,12680.0,12.3758
宜蘭縣,2009,236000.0,5.14,460474.0,12740.0,12.3716
宜蘭縣,2010,235000.0,5.3,460486.0,12800.0,12.3673
宜蘭縣,2011,227901.0,5.04,460012.2,12840.0,12.3367
宜蘭縣,2012,232925.75,4.78,459538.4,12880.0,12.3585
宜蘭縣,2013,237950.5,4.52,459064.6,12920.0,12.3798
宜蘭縣,2014,242975.25,4.26,458590.8,12960.0,12.4007
宜蘭縣,2015,248000.0,4.0,458117.0,13000.0,12.4212
宜蘭縣,2016,250800.0,3.98,457111.0,13100.0,12.4324
宜蘭縣,2017,253600.0,3.96,456105.0,13200.0,12.4435
宜蘭縣,2018,256400.0,3.94,455099.0,13300.0,12.4545
宜蘭縣,2019,259200.0,3.92,454093.0,13400.0,12.4654
宜蘭縣,2020,262000.0,3.9,453087.0,13500.0,12.4761
宜蘭縣,2021,264800.0,3.88,452081.0,13600.0,12.4867
宜蘭縣,2022,267600.0,3.86,451075.0,13700.0,12.4972
宜蘭縣,2023,270400.0,3.84,450069.0,13800.0,12.5077
宜蘭縣,2024,273200.0,3.82,449063.0,13900.0,12.518
新竹縣,1990,274337.0,0.5,363957.0,14000.0,12.5221
新竹縣,1991,277381.2,0.7,371532.6,14400.0,12.5331
新竹縣,1992,280425.4,0.8999999999999999,379108.2,14800.0,12.5441
新竹縣,1993,283469.6,1.0999999999999999,386683.8,15200.0,12.5549
新竹縣,1994,286513.8,1.2999999999999998,394259.4,15600.0,12.5655
新竹縣,1995,289558.0,1.5,401835.0,16000.0,12.5761
新竹縣,1996,292602.2,1.7,409410.6,16400.0,12.5866
新竹縣,1997,295646.4,1.9,416986.2,16800.0,12.5969
新竹縣,1998,298690.6,2.1,424561.8,17200.0,12.6072
新竹縣,1999,301734.8,2.3,432137.4,17600.0,12.6173
新竹縣,2000,304779.0,2.5,439713.0,18000.0,12.6273
新竹縣,2001,307823.2,2.7,447288.6,18400.0,12.6373
新竹縣,2002,310867.4,2.9,454864.2,18800.0,12.6471
新竹縣,2003,313911.6,3.1,462439.8,19200.0,12.6569
新竹縣,2004,316955.8,3.3,470015.4,19600.0,12.6665
新竹縣,2005,320000.0,3.5,477591.0,20000.0,12.6761
新竹縣,2006,319000.0,3.66,484675.8,20400.0,12.6729
新竹縣,2007,318000.0,3.82,491760.6,20800.0,12.6698
新竹縣,2008,317000.0,3.98,498845.4,21200.0,12.6667
新竹縣,2009,316000.0,4.14,505930.2,21600.0,12.6635
新竹縣,2010,315000.0,4.3,513015.0,22000.0,12.6603
新竹縣,2011,304779.0,4.1,518820.4,22400.0,12.6273
新竹縣,2012,311084.25,3.9,524625.8,22800.0,12.6478
新竹縣,2013,317389.5,3.6999999999999997,530431.2,23200.0,12.6679
新竹縣,2014,323694.75,3.5,536236.6,23600.0,12.6876
新竹縣,2015,330000.0,3.3,542042.0,24000.0,12.7068
新竹縣,2016,334000.0,3.3,547788.6,24400.0,12.7189
新竹縣,2017,338000.0,3.3,553535.2,24800.0,12.7308
新竹縣,2018,342000.0,3.3,559281.8,25200.0,12.7426
新竹縣,2019,346000.0,3.3,565028.4,25600.0,12.7542
新竹縣,2020,350000.0,3.3,570775.0,26000.0,12.7657
新竹縣,2021,354000.0,3.3,576521.6,26400.0,12.7771
新竹縣,2022,358000.0,3.3,582268.2,26800.0,12.7883
新竹縣,2023,362000.0,3.3,588014.8,27200.0,12.7994
新竹縣,2024,366000.0,3.3,593761.4,27600.0,12.8104
苗栗縣,1990,210107.0,2.5,559137.0,10000.0,12.2554
苗栗縣,1991,212433.2,2.6,559193.6,10100.0,12.2664
苗栗縣,1992,214759.4,2.7,559250.2,10200.0,12.2773
苗栗縣,1993,217085.6,2.8,559306.8,10300.0,12.288
苗栗縣,1994,219411.8,2.9,559363.4,10400.0,12.2987
苗栗縣,1995,221738.0,3.0,559420.0,10500.0,12.3093
苗栗縣,1996,224064.2,3.1,559476.6,10600.0,12.3197
苗栗縣,1997,226390.4,3.2,559533.2,10700.0,12.33
苗栗縣,1998,228716.6,3.3,559589.8,10800.0,12.3402
苗栗縣,1999,231042.8,3.4,559646.4,10900.0,12.3504
苗栗縣,2000,233369.0,3.5,559703.0,11000.0,12.3604
苗栗縣,2001,235695.2,3.6,559759.6,11100.0,12.3703
苗栗縣,2002,238021.4,3.7,559816.2,11200.0,12.3801
苗栗縣,2003,240347.6,3.8,559872.8,11300.0,12.3898
苗栗縣,2004,242673.8,3.9,559929.4,11400.0,12.3995
苗栗縣,2005,245000.0,4.0,559986.0,11500.0,12.409
苗栗縣,2006,243600.0,4.16,560182.4,11440.0,12.4033
苗栗縣,2007,242200.0,4.32,560378.8,11380.0,12.3975
苗栗縣,2008,240800.0,4.4799999999999995,560575.2,11320.0,12.3917
苗栗縣,2009,239400.0,4.64,560771.6,11260.0,12.3859
苗栗縣,2010,238000.0,4.8,560968.0,11200.0,12.38
苗栗縣,2011,233369.0,4.6,561556.8,11160.0,12.3604
苗栗縣,2012,237526.75,4.3999999999999995,562145.6,11120.0,12.378
苗栗縣,2013,241684.5,4.2,562734.4,11080.0,12.3954
苗栗縣,2014,245842.25,4.0,563323.2,11040.0,12.4124
苗栗縣,2015,250000.0,3.8,563912.0,11000.0,12.4292
苗栗縣,2016,252000.0,3.78,559647.6,10960.0,12.4372
苗栗縣,2017,254000.0,3.76,555383.2,10920.0,12.4451
苗栗縣,2018,256000.0,3.74,551118.8,10880.0,12.4529
苗栗縣,2019,258000.0,3.72,546854.4,10840.0,12.4607
苗栗縣,2020,260000.0,3.7,542590.0,10800.0,12.4684
苗栗縣,2021,262000.0,3.68,538325.6,10760.0,12.4761
苗栗縣,2022,264000.0,3.66,534061.2,10720.0,12.4837
苗栗縣,2023,266000.0,3.6400000000000006,529796.8,10680.0,12.4913
苗栗縣,2024,268000.0,3.6200000000000006,525532.4,10640.0,12.4987
彰化縣,1990,198102.0,2.0999999999999996,1299973.0,9000.0,12.1965
彰化縣,1991,200095.2,2.2399999999999993,1301020.0,9100.0,12.2065
彰化縣,1992,202088.4,2.38,1302067.0,9200.0,12.2165
彰化縣,1993,204081.6,2.5199999999999996,1303114.0,9300.0,12.2263
彰化縣,1994,206074.8,2.6599999999999997,1304161.0,9400.0,12.236
彰化縣,1995,208068.0,2.8,1305208.0,9500.0,12.2456
彰化縣,1996,210061.2,2.94,1306255.0,9600.0,12.2552
彰化縣,1997,212054.4,3.08,1307302.0,9700.0,12.2646
彰化縣,1998,214047.6,3.2199999999999998,1308349.0,9800.0,12.274
彰化縣,1999,216040.8,3.36,1309396.0,9900.0,12.2832
彰化縣,2000,218034.0,3.5,1310443.0,10000.0,12.2924
彰化縣,2001,220027.2,3.64,1311490.0,10100.0,12.3015
彰化縣,2002,222020.4,3.7800000000000002,1312537.0,10200.0,12.3105
彰化縣,2003,224013.6,3.92,1313584.0,10300.0,12.3195
彰化縣,2004,226006.8,4.0600000000000005,1314631.0,10400.0,12.3283
彰化縣,2005,228000.0,4.2,1315678.0,10500.0,12.3371
彰化縣,2006,226800.0,4.36,1311847.4,10560.0,12.3318
彰化縣,2007,225600.0,4.5200000000000005,1308016.8,10620.0,12.3265
彰化縣,2008,224400.0,4.68,1304186.2,10680.0,12.3212
彰化縣,2009,223200.0,4.84,1300355.6,10740.0,12.3158
彰化縣,2010,222000.0,5.0,1296525.0,10800.0,12.3104
彰化縣,2011,218034.0,4.78,1294649.2,10840.0,12.2924
彰化縣,2012,222275.5,4.56,1292773.4,10880.0,12.3117
彰化縣,2013,226517.0,4.34,1290897.6,10920.0,12.3306
彰化縣,2014,230758.5,4.12,1289021.8,10960.0,12.3491
彰化縣,2015,235000.0,3.9,1287146.0,11000.0,12.3673
彰化縣,2016,237600.0,3.88,1283050.8,11040.0,12.3783
彰化縣,2017,240200.0,3.86,1278955.6,11080.0,12.3892
彰化縣,2018,242800.0,3.84,1274860.4,11120.0,12.4
彰化縣,2019,245400.0,3.82,1270765.2,11160.0,12.4106
彰化縣,2020,248000.0,3.8,1266670.0,11200.0,12.4212
彰化縣,2021,250600.0,3.78,1262574.8,11240.0,12.4316
彰化縣,2022,253200.0,3.76,1258479.6,11280.0,12.4419
彰化縣,2023,255800.0,3.7399999999999998,1254384.4,11320.0,12.4522
彰化縣,2024,258400.0,3.7199999999999998,1250289.2,11360.0,12.4623
南投縣,1990,203509.0,3.0,554201.0,8600.0,12.2235
南投縣,1991,204608.4,3.1,552934.6,8640.0,12.2289
南投縣,1992,205707.8,3.2,551668.2,8680.0,12.2342
南投縣,1993,206807.2,3.3,550401.8,8720.0,12.2395
南投縣,1994,207906.6,3.4,549135.4,8760.0,12.2448
南投縣,1995,209006.0,3.5,547869.0,8800.0,12.2501
南投縣,1996,210105.4,3.6,546602.6,8840.0,12.2554
南投縣,1997,211204.8,3.7,545336.2,8880.0,12.2606
南投縣,1998,212304.2,3.8,544069.8,8920.0,12.2658
南投縣,1999,213403.6,3.9,542803.4,8960.0,12.2709
南投縣,2000,214503.0,4.0,541537.0,9000.0,12.2761
南投縣,2001,215602.4,4.1,540270.6,9040.0,12.2812
南投縣,2002,216701.8,4.2,539004.2,9080.0,12.2863
南投縣,2003,217801.2,4.3,537737.8,9120.0,12.2913
南投縣,2004,218900.6,4.4,536471.4,9160.0,12.2964
南投縣,2005,220000.0,4.5,535205.0,9200.0,12.3014
南投縣,2006,217000.0,4.66,533462.2,9060.0,12.2877
南投縣,2007,214000.0,4.82,531719.4,8920.0,12.2737
南投縣,2008,211000.0,4.9799999999999995,529976.6,8780.0,12.2596
南投縣,2009,208000.0,5.14,528233.8,8640.0,12.2453
南投縣,2010,205000.0,5.3,526491.0,8500.0,12.2308
南投縣,2011,214503.0,5.08,523090.8,8440.0,12.2761
南投縣,2012,213377.25,4.86,519690.6,8380.0,12.2708
南投縣,2013,212251.5,4.64,516290.4,8320.0,12.2655
南投縣,2014,211125.75,4.42,512890.2,8260.0,12.2602
南投縣,2015,210000.0,4.2,509490.0,8200.0,12.2549
南投縣,2016,210000.0,4.18,505758.4,8160.0,12.2549
南投縣,2017,210000.0,4.16,502026.8,8120.0,12.2549
南投縣,2018,210000.0,4.14,498295.2,8080.0,12.2549
南投縣,2019,210000.0,4.12,494563.6,8040.0,12.2549
南投縣,2020,210000.0,4.1,490832.0,8000.0,12.2549
南投縣,2021,210000.0,4.079999999999999,487100.4,7960.0,12.2549
南投縣,2022,210000.0,4.06,483368.8,7920.0,12.2549
南投縣,2023,210000.0,4.039999999999999,479637.2,7880.0,12.2549
南投縣,2024,210000.0,4.02,475905.6,7840.0,12.2549
雲林縣,1990,205978.0,3.4000000000000004,773124.0,8900.0,12.2355
雲林縣,1991,207912.8,3.4600000000000004,770148.4,8960.0,12.2449
雲林縣,1992,209847.6,3.5200000000000005,767172.8,9020.0,12.2541
雲林縣,1993,211782.4,3.58,764197.2,9080.0,12.2633
雲林縣,1994,213717.2,3.64,761221.6,9140.0,12.2724
雲林縣,1995,215652.0,3.7,758246.0,9200.0,12.2814
雲林縣,1996,217586.8,3.7600000000000002,755270.4,9260.0,12.2904
雲林縣,1997,219521.6,3.8200000000000003,752294.8,9320.0,12.2992
雲林縣,1998,221456.4,3.88,749319.2,9380.0,12.308
雲林縣,1999,223391.2,3.94,746343.6,9440.0,12.3167
雲林縣,2000,225326.0,4.0,743368.0,9500.0,12.3253
雲林縣,2001,227260.8,4.06,740392.4,9560.0,12.3339
雲林縣,2002,229195.6,4.12,737416.8,9620.0,12.3423
雲林縣,2003,231130.4,4.18,734441.2,9680.0,12.3507
雲林縣,2004,233065.2,4.24,731465.6,9740.0,12.3591
雲林縣,2005,235000.0,4.3,728490.0,9800.0,12.3673
雲林縣,2006,233600.0,4.4399999999999995,726322.6,9740.0,12.3614
雲林縣,2007,232200.0,4.58,724155.2,9680.0,12.3554
雲林縣,2008,230800.0,4.72,721987.8,9620.0,12.3493
雲林縣,2009,229400.0,4.86,719820.4,9560.0,12.3432
雲林縣,2010,228000.0,5.0,717653.0,9500.0,12.3371
雲林縣,2011,225326.0,4.8,714049.0,9440.0,12.3253
雲林縣,2012,228494.5,4.6,710445.0,9380.0,12.3393
雲林縣,2013,231663.0,4.4,706841.0,9320.0,12.353
雲林縣,2014,234831.5,4.2,703237.0,9260.0,12.3666
雲林縣,2015,238000.0,4.0,699633.0,9200.0,12.38
雲林縣,2016,239400.0,3.98,695081.0,9160.0,12.3859
雲林縣,2017,240800.0,3.96,690529.0,9120.0,12.3917
